time [s],step [Step](/api/datatype/52/)
41.453125,1
42.5625,2
44.21875,3
70.375,4
71.46875,5
100.359375,6
101.65625,7
102.578125,8
103.734375,9
123.796875,10
124.71875,11
160.40625,12
161.46875,13
162.09375,14
162.625,15
163.953125,16
164.671875,17
177.546875,18
178.59375,19
227.0625,20
265.375,21
273.375,22
274.703125,23
275.6875,24
303.578125,25
306.296875,26
307.515625,27
308.625,28
333.015625,29
333.453125,30
334.109375,31
334.625,32
335.203125,33
335.671875,34
336.1875,35
337.109375,36
339.03125,37
340.578125,38
341.140625,39
342.296875,40
342.90625,41
344.4375,42
345.390625,43
375.78125,44
378.40625,45
413.671875,46
414.6875,47
415.65625,48
516.65625,49
517.90625,50
521.953125,51
522.59375,52
523.109375,53
524.28125,54
524.6875,55
525.234375,56
525.78125,57
526.328125,58
526.953125,59
528.671875,60
529.3125,61
532.75,62
533.875,63
535.609375,64
536.3125,65
537.40625,66
538.484375,67
539.59375,68
541.71875,69
582.71875,70
583.828125,71
584.53125,72
606.4375,73
608.28125,74
628.90625,75
636.5,76
637.109375,77
637.703125,78
638.359375,79
639.15625,80
646.4375,81
647.015625,82
648.203125,83
648.828125,84
649.40625,85
650.015625,86
657.875,87
659.015625,88
659.671875,89
660.875,90
716.484375,91
716.703125,92
716.921875,93
717.171875,94
736.25,95
770.0625,96
770.796875,97
771.453125,98
772.1875,99
773.5,100
774.8125,101
775.515625,102
776.359375,103
786.671875,104
787.25,105
788.59375,106
789.046875,107
789.640625,108
790.125,109
790.796875,110
791.203125,111
791.890625,112
792.984375,113
793.390625,114
795.484375,115
812.0,116
815.171875,117
816.4375,118
818.296875,119
819.578125,120
840.046875,121
841.40625,122
849.0,123
851.0625,124
853.9375,125
855.265625,126
855.921875,127
866.3125,128
1045.21875,129
1046.59375,130
1047.21875,131
1047.78125,132
1048.4375,133
1049.09375,134
1049.3125,135
1049.671875,136
1050.875,137
1051.578125,138
1052.171875,139
1052.90625,140
1054.40625,141
1059.609375,142
1064.28125,143
1065.921875,144
1085.296875,145
1086.53125,146
1087.640625,147
1088.140625,148
1088.859375,149
1089.34375,150
1090.09375,151
1091.15625,152
1091.84375,153
1095.71875,154
1096.203125,155
1096.8125,156
1097.453125,157
1099.203125,158
1100.8125,159
1101.5625,160
1102.40625,161
1102.921875,162
1114.296875,163
1116.21875,164
1121.296875,165
1121.984375,166
1123.703125,167
1128.4375,168
1132.359375,169
1133.265625,170
1136.84375,171
1157.390625,172
1158.125,173
1158.625,174
1159.140625,175
1159.59375,176
1160.09375,177
1160.6875,178
1161.21875,179
1161.78125,180
1162.328125,181
1163.109375,182
1163.625,183
1164.125,184
1164.71875,185
1165.171875,186
1165.6875,187
1166.21875,188
1166.75,189
1167.328125,190
1168.296875,191
1173.171875,192
1173.75,193
1174.0625,194
1174.375,195
1174.671875,196
1174.953125,197
1175.234375,198
1175.53125,199
1175.90625,200
1176.40625,201
1177.046875,202
1177.703125,203
1178.15625,204
1178.4375,205
1178.78125,206
1179.078125,207
1179.328125,208
1179.609375,209
1179.890625,210
1180.375,211
1180.96875,212
1181.328125,213
1181.59375,214
1182.015625,215
1182.359375,216
1182.703125,217
1183.015625,218
1183.296875,219
1183.65625,220
1183.90625,221
1184.375,222
1185.203125,223
1185.6875,224
1186.203125,225
1186.59375,226
1186.921875,227
1187.296875,228
1187.609375,229
1187.953125,230
1188.3125,231
1189.453125,232
1190.1875,233
1190.609375,234
1190.921875,235
1191.28125,236
1191.59375,237
1191.9375,238
1192.265625,239
1192.640625,240
1193.125,241
1194.234375,242
1194.53125,243
1194.890625,244
1195.1875,245
1195.515625,246
1195.796875,247
1196.078125,248
1196.359375,249
1196.703125,250
1197.15625,251
1197.765625,252
1198.234375,253
1198.796875,254
1199.46875,255
1199.734375,256
1200.109375,257
1200.46875,258
1200.9375,259
1201.5625,260
1202.046875,261
1202.640625,262
1203.125,263
1203.765625,264
1204.203125,265
1204.890625,266
1205.359375,267
1206.765625,268
1207.640625,269
1208.296875,270
1208.984375,271
1209.484375,272
1209.953125,273
1211.3125,274
1211.96875,275
1212.734375,276
1213.234375,277
1213.734375,278
1214.328125,279
1214.859375,280
1215.28125,281
1215.9375,282
1216.609375,283
1216.9375,284
1217.25,285
1217.609375,286
1218.703125,287
1219.15625,288
1219.78125,289
1220.484375,290
1220.765625,291
1221.203125,292
1221.515625,293
1221.96875,294
1222.546875,295
1223.125,296
1223.640625,297
1224.125,298
1224.71875,299
1225.28125,300
1225.796875,301
1226.28125,302
1226.890625,303
1227.390625,304
1227.984375,305
1228.546875,306
1229.078125,307
1229.5625,308
1230.15625,309
1230.703125,310
1231.265625,311
1231.78125,312
1232.328125,313
1232.859375,314
1233.453125,315
1234.015625,316
1234.53125,317
1235.03125,318
1235.59375,319
1236.109375,320
1236.71875,321
1237.296875,322
1237.78125,323
1238.296875,324
1238.890625,325
1239.421875,326
1240.0,327
1240.515625,328
1241.109375,329
1241.5625,330
1242.21875,331
1242.703125,332
1243.328125,333
1243.90625,334
1244.4375,335
1245.015625,336
1245.5625,337
1246.03125,338
1246.6875,339
1247.171875,340
1247.78125,341
1248.359375,342
1248.921875,343
1249.453125,344
1249.984375,345
1250.53125,346
1251.046875,347
1251.53125,348
1252.125,349
1252.609375,350
1253.171875,351
1253.65625,352
1254.203125,353
1254.703125,354
1255.234375,355
1255.71875,356
1256.28125,357
1256.78125,358
1257.3125,359
1257.78125,360
1258.359375,361
1258.828125,362
1259.4375,363
1259.921875,364
1260.5,365
1260.953125,366
1261.609375,367
1262.078125,368
1262.59375,369
1263.203125,370
1263.78125,371
1264.34375,372
1264.90625,373
1265.375,374
1265.96875,375
1266.46875,376
1267.078125,377
1267.578125,378
1268.171875,379
1268.6875,380
1269.28125,381
1269.859375,382
1270.390625,383
1270.875,384
1271.484375,385
1271.984375,386
1272.609375,387
1273.125,388
1273.71875,389
1274.171875,390
1274.734375,391
1275.09375,392
1275.796875,393
1276.328125,394
1276.90625,395
1277.4375,396
1277.984375,397
1278.484375,398
1279.0625,399
1279.625,400
1280.171875,401
1280.609375,402
1281.25,403
1281.765625,404
1282.34375,405
1282.90625,406
1283.4375,407
1283.921875,408
1284.53125,409
1284.984375,410
1285.578125,411
1286.0625,412
1286.640625,413
1287.15625,414
1287.75,415
1288.234375,416
1288.859375,417
1289.3125,418
1289.90625,419
1290.40625,420
1291.0,421
1291.515625,422
1292.109375,423
1292.59375,424
1293.1875,425
1293.6875,426
1294.28125,427
1294.75,428
1295.359375,429
1295.84375,430
1296.453125,431
1296.90625,432
1297.515625,433
1298.015625,434
1298.625,435
1299.078125,436
1299.734375,437
1300.203125,438
1300.796875,439
1301.28125,440
1301.90625,441
1302.359375,442
1302.984375,443
1303.46875,444
1304.078125,445
1304.5625,446
1305.203125,447
1305.71875,448
1306.265625,449
1306.765625,450
1307.359375,451
1307.828125,452
1308.53125,453
1309.0,454
1309.609375,455
1310.09375,456
1310.734375,457
1311.21875,458
1311.84375,459
1312.359375,460
1312.9375,461
1313.421875,462
1314.09375,463
1314.546875,464
1315.109375,465
1315.734375,466
1318.703125,467
1319.953125,468
1320.5625,469
1342.859375,470
1344.171875,471
1344.625,472
1345.375,473
1345.828125,474
1346.546875,475
1347.0,476
1347.765625,477
1348.21875,478
1348.921875,479
1349.4375,480
1350.109375,481
1351.28125,482
1351.765625,483
1352.5625,484
1353.015625,485
1378.953125,486
1380.359375,487
1385.71875,488
1387.28125,489
1388.03125,490
1388.6875,491
1403.6875,492
1404.453125,493
1408.96875,494
1410.34375,495
1410.828125,496
1411.546875,497
1412.015625,498
1412.765625,499
1413.9375,500
1414.390625,501
1415.078125,502
1415.5625,503
1416.34375,504
1416.859375,505
1417.515625,506
1418.21875,507
1424.5625,508
1425.171875,509
1425.71875,510
1426.359375,511
1467.5,512
1468.171875,513
1470.140625,514
1471.5625,515
1472.65625,516
1473.28125,517
1474.015625,518
1474.5,519
1475.1875,520
1475.671875,521
1476.4375,522
1477.578125,523
1481.875,524
1483.8125,525
1485.640625,526
1487.0625,527
1487.59375,528
1488.078125,529
1488.703125,530
1489.375,531
1490.515625,532
1491.015625,533
1491.6875,534
1492.828125,535
1493.359375,536
1493.953125,537
1494.5,538
1495.078125,539
1495.578125,540
1496.203125,541
1496.703125,542
1497.359375,543
1497.8125,544
1498.515625,545
1499.640625,546
1500.140625,547
1500.8125,548
1501.953125,549
1503.078125,550
1503.640625,551
1504.203125,552
1504.703125,553
1505.3125,554
1505.78125,555
1506.453125,556
1506.9375,557
1507.609375,558
1508.078125,559
1508.734375,560
1509.1875,561
1509.859375,562
1510.421875,563
1511.0,564
1511.453125,565
1512.109375,566
1513.265625,567
1513.75,568
1514.359375,569
1514.859375,570
1515.5,571
1515.984375,572
1516.625,573
1517.125,574
1517.765625,575
1518.25,576
1518.875,577
1519.359375,578
1519.984375,579
1520.578125,580
1521.109375,581
1521.609375,582
1522.21875,583
1522.765625,584
1523.375,585
1523.84375,586
1524.484375,587
1524.953125,588
1525.578125,589
1526.078125,590
1526.703125,591
1527.171875,592
1527.84375,593
1528.328125,594
1528.96875,595
1529.453125,596
1530.0625,597
1530.578125,598
1531.21875,599
1531.65625,600
1532.34375,601
1532.796875,602
1533.46875,603
1534.0,604
1534.578125,605
1535.0625,606
1535.703125,607
1536.171875,608
1536.859375,609
1537.296875,610
1537.96875,611
1538.53125,612
1539.109375,613
1539.65625,614
1540.25,615
1540.703125,616
1541.40625,617
1541.84375,618
1542.5625,619
1543.0625,620
1543.6875,621
1544.171875,622
1544.84375,623
1545.984375,624
1546.53125,625
1547.0625,626
1547.765625,627
1548.390625,628
1549.4375,629
1550.640625,630
1551.375,631
1552.015625,632
1552.5625,633
1553.203125,634
1553.703125,635
1554.40625,636
1555.46875,637
1556.828125,638
1558.0,639
1559.21875,640
1559.640625,641
1560.375,642
1561.578125,643
1562.84375,644
1563.25,645
1563.84375,646
1565.21875,647
1565.625,648
1566.453125,649
1567.625,650
1568.75,651
1569.265625,652
1569.96875,653
1570.46875,654
1571.171875,655
1571.6875,656
1572.1875,657
1573.390625,658
1574.703125,659
1575.90625,660
1576.359375,661
1577.09375,662
1578.375,663
1578.859375,664
1579.546875,665
1579.984375,666
1580.71875,667
1581.1875,668
1581.796875,669
1582.984375,670
1584.328125,671
1584.796875,672
1585.46875,673
1586.0,674
1586.71875,675
1587.203125,676
1589.21875,677
1590.546875,678
1591.25,679
1592.140625,680
1592.625,681
1593.390625,682
1594.5,683
1595.203125,684
1595.828125,685
1596.5,686
1597.40625,687
1598.546875,688
1599.046875,689
1599.625,690
1600.875,691
1602.046875,692
1603.09375,693
1603.859375,694
1604.65625,695
1605.421875,696
1606.359375,697
1609.953125,698
1611.421875,699
1612.640625,700
1613.125,701
1613.84375,702
1614.3125,703
1615.515625,704
1621.78125,705
1622.390625,706
1622.890625,707
1624.1875,708
1624.8125,709
1625.765625,710
1626.90625,711
1628.0,712
1629.34375,713
1630.03125,714
1630.734375,715
1631.390625,716
1632.109375,717
1632.75,718
1633.53125,719
1634.15625,720
1634.84375,721
1636.203125,722
1636.875,723
1637.59375,724
1638.3125,725
1639.03125,726
1639.734375,727
1641.265625,728
1641.984375,729
1642.765625,730
1643.484375,731
1644.1875,732
1644.859375,733
1646.234375,734
1647.109375,735
1648.46875,736
1649.1875,737
1649.84375,738
1650.515625,739
1651.25,740
1651.96875,741
1652.609375,742
1653.453125,743
1654.15625,744
1655.53125,745
1656.234375,746
1656.890625,747
1657.59375,748
1658.328125,749
1658.96875,750
1659.640625,751
1660.3125,752
1661.0,753
1661.765625,754
1662.40625,755
1663.140625,756
1664.484375,757
1665.890625,758
1667.28125,759
1667.9375,760
1669.25,761
1670.0,762
1671.390625,763
1672.890625,764
1673.59375,765
1674.34375,766
1675.0,767
1675.71875,768
1676.390625,769
1677.125,770
1677.75,771
1678.46875,772
1679.140625,773
1679.828125,774
1681.3125,775
1682.0,776
1682.84375,777
1684.21875,778
1698.484375,779
1700.0625,780
1700.796875,781
1705.234375,782
1706.6875,783
1707.15625,784
1719.4375,785
1731.4375,786
1732.265625,787
1732.859375,788
1733.515625,789
1734.015625,790
1734.515625,791
1739.375,792
1741.78125,793
1953.203125,794
1954.453125,795
1955.09375,796
1955.75,797
1956.484375,798
1957.078125,799
1957.59375,800
1958.078125,801
1958.8125,802
1959.96875,803
1960.421875,804
1961.296875,805
1962.875,806
1970.015625,807
1989.03125,808
2002.28125,809
2043.109375,810
2043.75,811
2069.734375,812
2076.78125,813
2174.296875,814
2180.5625,815
2181.265625,816
2181.921875,817
2184.09375,818
2185.609375,819
2187.203125,820
2226.90625,821
2244.828125,822
2247.921875,823
2255.15625,824
2255.546875,825
2256.828125,826
2257.375,827
2259.5,828
2260.78125,829
2430.5625,830
2433.828125,831
2435.25,832
2435.65625,833
2436.390625,834
2437.90625,835
2438.734375,836
2439.203125,837
2439.859375,838
2440.078125,839
2448.640625,840
2449.28125,841
2476.8125,842
2480.921875,843
2490.828125,844
2491.53125,845
2503.4375,846
2601.828125,847
2613.703125,848
2623.734375,849
2624.359375,850
2624.890625,851
2625.546875,852
2626.046875,853
2627.234375,854
2627.734375,855
2628.359375,856
2628.953125,857
2629.5625,858
2633.625,859
2634.390625,860
2643.203125,861
2643.75,862
2671.1875,863
2675.96875,864
2677.453125,865
2678.5,866
2678.953125,867
2679.609375,868
2680.765625,869
2681.296875,870
2681.828125,871
2682.3125,872
2682.96875,873
2683.9375,874
2686.71875,875
2687.453125,876
2688.609375,877
2689.671875,878
2690.765625,879
2691.203125,880
2691.9375,881
2692.796875,882
2694.078125,883
2696.296875,884
2730.390625,885
2731.171875,886
2737.90625,887
2738.84375,888
2739.28125,889
2740.0,890
2741.015625,891
2741.578125,892
2743.96875,893
2747.125,894
2747.796875,895
2748.015625,896
2758.125,897
2759.359375,898
2759.96875,899
2762.015625,900
2762.859375,901
2764.4375,902
2765.6875,903
2766.328125,904
2770.53125,905
2771.71875,906
2778.8125,907
2780.84375,908
3110.6875,909
3663.921875,910
3664.609375,911
3665.328125,912
3666.109375,913
3677.65625,914
3680.09375,915
3680.6875,916
3682.78125,917
3690.75,918
3691.765625,919
3692.90625,920
3693.984375,921
4147.046875,922
4166.125,923
4167.375,924
4181.390625,925
4182.6875,926
4183.046875,927
4183.578125,928
4184.3125,929
4252.0,930
4252.609375,931
4253.265625,932
4253.828125,933
4254.296875,934
4254.734375,935
4255.390625,936
4255.953125,937
4256.46875,938
4257.5,939
4258.0625,940
4258.5625,941
4259.0,942
4259.609375,943
4259.921875,944
4260.640625,945
4260.96875,946
4261.625,947
4262.109375,948
4262.78125,949
4269.09375,950
4270.234375,951
4270.765625,952
4271.3125,953
4271.703125,954
4272.171875,955
4272.796875,956
4273.296875,957
4273.8125,958
4274.328125,959
4274.828125,960
4275.359375,961
4275.8125,962
4276.390625,963
4276.859375,964
4277.4375,965
4277.921875,966
4278.453125,967
4279.0,968
4279.484375,969
4355.59375,970
4398.859375,971
4399.109375,972
4422.546875,973
4423.015625,974
4423.53125,975
4424.6875,976
4427.34375,977
4428.421875,978
4429.40625,979
4430.5625,980
4431.890625,981
4432.8125,982
4433.96875,983
4434.421875,984
4434.984375,985
4447.453125,986
4450.21875,987
4467.890625,988
4480.84375,989
4484.984375,990
4491.734375,991
4492.4375,992
4493.125,993
4494.25,994
4495.171875,995
4495.75,996
4496.40625,997
4497.375,998
4498.421875,999
4500.53125,1000
4525.265625,1001
4545.640625,1002
4546.765625,1003
4547.171875,1004
4572.109375,1005
4573.28125,1006
4610.890625,1007
4612.421875,1008
4620.703125,1009
4622.140625,1010
4629.40625,1011
4632.328125,1012
4633.171875,1013
4634.28125,1014
4634.6875,1015
4635.34375,1016
4635.921875,1017
4636.484375,1018
4637.09375,1019
4638.109375,1020
4953.828125,1021
4955.265625,1022
4955.859375,1023
4957.15625,1024
4957.640625,1025
4965.65625,1026
4971.015625,1027
4973.28125,1028
4973.953125,1029
4974.578125,1030
4978.265625,1031
4981.734375,1032
4982.140625,1033
4982.59375,1034
4983.828125,1035
4984.578125,1036
4985.609375,1037
4985.96875,1038
5005.75,1039
5006.828125,1040
5007.46875,1041
5008.1875,1042
5009.3125,1043
5009.765625,1044
5010.515625,1045
5039.46875,1046
5041.703125,1047
5046.03125,1048
5046.640625,1049
5047.3125,1050
5048.46875,1051
5048.953125,1052
5049.5625,1053
5050.25,1054
5055.171875,1055
5055.859375,1056
5057.0625,1057
5057.515625,1058
5058.140625,1059
5059.34375,1060
5059.75,1061
5060.46875,1062
5060.875,1063
5062.03125,1064
5063.75,1065
5087.84375,1066
5103.71875,1067
5109.953125,1068
5118.03125,1069
5118.71875,1070
5119.375,1071
5120.03125,1072
5120.65625,1073
5122.046875,1074
5122.5625,1075
5123.265625,1076
5123.6875,1077
5124.40625,1078
5126.0,1079
5126.578125,1080
5127.15625,1081
5127.875,1082
5131.828125,1083
5132.484375,1084
5134.9375,1085
5136.078125,1086
5136.625,1087
5137.953125,1088
5138.40625,1089
5139.109375,1090
5140.21875,1091
5141.328125,1092
5141.75,1093
5142.8125,1094
5143.40625,1095
5144.109375,1096
5179.90625,1097
5180.21875,1098
5180.859375,1099
5181.9375,1100
5183.140625,1101
5184.328125,1102
5185.375,1103
5185.890625,1104
5186.625,1105
5187.765625,1106
5189.5625,1107
5192.046875,1108
5194.65625,1109
5195.234375,1110
5197.203125,1111
5197.875,1112
5198.71875,1113
5235.65625,1114
5237.84375,1115
5238.59375,1116
5258.3125,1117
5262.390625,1118
5263.625,1119
5264.40625,1120
5264.953125,1121
5265.734375,1122
5289.28125,1123
5289.96875,1124
5290.546875,1125
5291.078125,1126
5291.625,1127
5292.1875,1128
5292.78125,1129
5293.375,1130
5293.9375,1131
5296.484375,1132
5297.0625,1133
5320.234375,1134
5342.484375,1135
5347.078125,1136
5348.265625,1137
5386.1875,1138
5396.0625,1139
5397.3125,1140
5398.53125,1141
5399.75,1142
5400.28125,1143
5400.953125,1144
5401.484375,1145
5402.09375,1146
5403.28125,1147
5403.84375,1148
5404.453125,1149
5405.671875,1150
5406.828125,1151
5413.03125,1152
5413.65625,1153
5414.28125,1154
5414.953125,1155
5415.515625,1156
5416.65625,1157
5417.234375,1158
5417.84375,1159
5418.453125,1160
5418.984375,1161
5419.640625,1162
5420.21875,1163
5420.828125,1164
5421.390625,1165
5421.984375,1166
5422.546875,1167
5423.921875,1168
5441.515625,1169
5441.9375,1170
5442.546875,1171
5443.78125,1172
5445.015625,1173
5446.140625,1174
5504.515625,1175
5505.671875,1176
5507.25,1177
5508.421875,1178
6323.8125,1179
6328.921875,1180
6329.59375,1181
6330.96875,1182
6331.515625,1183
6332.125,1184
6332.609375,1185
6337.296875,1186
6338.546875,1187
6339.046875,1188
6339.890625,1189
6341.421875,1190
6342.921875,1191
6345.375,1192
6346.703125,1193
6353.109375,1194
6354.453125,1195
6354.875,1196
6356.03125,1197
6356.640625,1198
6357.65625,1199
6388.96875,1200
6390.90625,1201
6393.734375,1202
6397.796875,1203
6399.953125,1204
6400.71875,1205
6407.21875,1206
6408.625,1207
6409.25,1208
6409.8125,1209
6410.265625,1210
6410.984375,1211
6411.453125,1212
6412.046875,1213
6412.5,1214
6412.953125,1215
6414.015625,1216
6417.90625,1217
6420.421875,1218
6421.109375,1219
6421.78125,1220
6422.390625,1221
6422.984375,1222
6424.171875,1223
6424.796875,1224
6425.359375,1225
6426.578125,1226
6429.875,1227
6431.46875,1228
6455.28125,1229
6471.921875,1230
6472.359375,1231
6472.8125,1232
6474.421875,1233
6474.890625,1234
6475.4375,1235
6477.421875,1236
6478.234375,1237
6478.65625,1238
6481.390625,1239
6483.46875,1240
6486.9375,1241
6489.0625,1242
6490.5625,1243
6493.28125,1244
6498.359375,1245
6499.28125,1246
6501.453125,1247
6531.78125,1248
6547.25,1249
6549.5,1250
6550.265625,1251
6550.84375,1252
6551.4375,1253
6552.015625,1254
6552.5,1255
6552.96875,1256
6553.421875,1257
6554.046875,1258
6556.3125,1259
6556.828125,1260
6557.421875,1261
6557.8125,1262
6558.40625,1263
6558.90625,1264
6559.453125,1265
6559.875,1266
6560.40625,1267
6561.609375,1268
6562.25,1269
6562.8125,1270
6563.40625,1271
6564.0,1272
6564.59375,1273
6565.09375,1274
6565.609375,1275
6566.203125,1276
6567.578125,1277
6568.171875,1278
6568.734375,1279
6569.15625,1280
6569.65625,1281
6570.109375,1282
6570.625,1283
6571.0,1284
6571.484375,1285
6573.578125,1286
6574.140625,1287
6574.59375,1288
6575.0625,1289
6575.4375,1290
6575.90625,1291
6576.28125,1292
6576.78125,1293
6578.46875,1294
6578.984375,1295
6579.671875,1296
6580.09375,1297
6580.59375,1298
6581.109375,1299
6581.53125,1300
6582.0625,1301
6582.46875,1302
6584.234375,1303
6584.9375,1304
6585.4375,1305
6586.03125,1306
6586.5625,1307
6587.15625,1308
6587.75,1309
6588.109375,1310
6588.578125,1311
6590.234375,1312
6590.765625,1313
6591.28125,1314
6591.8125,1315
6592.28125,1316
6592.765625,1317
6593.1875,1318
6593.6875,1319
6594.046875,1320
6594.5625,1321
6595.15625,1322
6595.734375,1323
6596.25,1324
6596.859375,1325
6597.296875,1326
6597.71875,1327
6598.203125,1328
6598.671875,1329
6599.21875,1330
6599.78125,1331
6600.40625,1332
6600.96875,1333
6601.5,1334
6602.046875,1335
6610.328125,1336
6610.984375,1337
6611.65625,1338
6615.734375,1339
6616.296875,1340
6616.75,1341
6617.28125,1342
6617.796875,1343
6618.328125,1344
6618.90625,1345
6619.453125,1346
6620.109375,1347
6620.546875,1348
6621.015625,1349
6621.421875,1350
6621.96875,1351
6622.53125,1352
6623.125,1353
6623.703125,1354
6624.25,1355
6624.890625,1356
6625.421875,1357
6625.953125,1358
6626.53125,1359
6627.078125,1360
6627.65625,1361
6628.203125,1362
6660.203125,1363
6667.03125,1364
6668.28125,1365
6677.046875,1366
6685.484375,1367
6687.125,1368
6689.203125,1369
6692.90625,1370
6696.0,1371
6730.609375,1372
6731.25,1373
6731.609375,1374
6731.890625,1375
6732.265625,1376
6732.953125,1377
6734.9375,1378
6735.765625,1379
6736.0,1380
6736.5625,1381
6742.796875,1382
6743.109375,1383
6747.59375,1384
6748.859375,1385
6749.1875,1386
6749.96875,1387
6750.796875,1388
6752.40625,1389
6752.765625,1390
6753.078125,1391
6754.8125,1392
6756.640625,1393
6756.90625,1394
6757.375,1395
